YEAR, TITLE, AUTHORS, MS, PT, W, A, PLa, TAGS
1988 ,  Programming with proofs: a second order type theory                                                    ,  M. Parigot                                                                         , LC,        ,   ,    ,    ,  LC PT
1987 ,  Automata; games; and positive monadic theories of trees                                                ,  M. Parigot                                                                         ,   ,        ,   ,    ,    ,  ToC
1987 ,  The implementation of functional programming languages                                                 ,  Simon Peyton Jones                                                                 ,   ,        ,   ,    ,    ,  PLT FP
1987 ,  A typed lambda calculus with categorical type constructors                                             ,  Tatsuya Hagino                                                                     , LC,        ,   ,    ,    ,  LC
1985 ,  A logical approach of Petri net languages                                                              ,  M. Parigot; E. Pelz                                                                ,   ,        ,   ,    ,    ,  ToC
1985 ,  A logical formalism for the study of the finite behaviour of Petri nets                                ,  M. Parigot; E. Pelz                                                                ,   ,        ,   ,    ,    ,  ToC
1985 ,  Automatic synthesis of typed lambda-programs on term algebras                                          ,  Corrado Böhm; Alessandro Berarducci                                                , LC,        ,   ,    ,    ,  LC
1985 ,  Structure and interpretation of computer programs                                                      ,  Harold Abelson; Gerald Jay Sussman; Julie Sussman                                  ,   , SEMINAL,   ,    ,    ,  PLT
1984 ,  Automates; réseaux; formules                                                                           ,  M. Parigot                                                                         ,   ,        ,   ,    ,    ,  ToC
1984 ,  Omission des types dans les théories Π20 (Δ)                                                           ,  M. Parigot                                                                         ,   ,        ,   ,    ,    ,  TT
1981 ,  The Lambda Calculus - Its Syntax and Semantics                                                         ,  Hendrik Barendregt                                                                 , LC, SEMINAL,   ,    ,    ,  LC
1982 ,  Théories d'arbres                                                                                      ,  M. Parigot                                                                         ,   , SEMINAL,   ,    ,    ,  ToC
1982 ,  A programming approach to computability (2nd ed.)                                                      ,  A. Kfoury; R. Moll; M. Arbib                                                       ,   , SEMINAL,   ,    ,    ,  ToC
1981 ,  Denotational semantics                                                                                 ,  J. Stoy                                                                            ,   , SEMINAL,   ,    ,    ,  DS
1980 ,  Some unusual λ-calculus numeral systems                                                                ,  Ch. Wadsworth                                                                      , LC,        ,   ,    ,    ,  LC
1977 ,  The type free lambda calculus                                                                          ,  Hendrik Barendregt                                                                 , LC,        ,   ,    ,    ,  LC
1977 ,  A transformational system for developing recursive programs                                            ,  R. Burstall; J. Darlington                                                         ,   ,        ,   ,    ,    ,  PLT PD PLT
1976 ,  A discipline of programming                                                                            ,  E. Dijkstra                                                                        ,   ,        ,   ,    ,    ,  PLT
1972 ,  Lambda calculus notation with nameless dummies: a tool for automatic formula manipulation with …       ,  N. de Bruijn                                                                       , LC, SEMINAL,   ,    ,    ,  LC TT
1972 ,  A mathematical introduction to logic                                                                   ,  H. Enderton                                                                        ,   , BOOK   ,   ,    ,    ,  LO
1972 ,  Interprétation fonctionnelle et élimination des coupures de l'arithmétique d'ordre supérieur           ,  J. Girard                                                                          , LC,        ,   ,    ,    ,  LC TT
1972 ,  Combinatory Logic; volume 2                                                                            ,  H. Curry; J. Hindley; J. Seldin                                                    , LC, SEMINAL,   ,    ,    ,  LC
1971 ,  Categories for the Working Mathematician                                                               ,  Saunders Mac Lane                                                                  ,   , SEMINAL,   ,    ,    ,  CT
1963 ,  A system of functional abstraction                                                                     ,  D. Scott                                                                           , LC,        ,   ,    ,    ,  LC
1960 ,  Naive Set Theory                                                                                       ,  Paul Halmos                                                                        ,   , SEMINAL,   ,    ,    ,  ST
1958 ,  Combinatory Logic; volume 1                                                                            ,  Haskell Curry; Robert Feys                                                         ,   , SEMINAL,   ,    ,    ,  ToC CL
1952 ,  Introduction to Metamathematics                                                                        ,  Stephen Kleen                                                                      ,   , SEMINAL,   ,    ,    ,  PRF
1941 ,  The calculi of lambda conversion                                                                       ,  Alonzo Church                                                                      , LC, SEMINAL,   ,    ,    ,  LC
1940 ,  A formulation of the simple theory of types                                                            ,  Alonzo Church                                                                      , LC, SEMINAL,   ,    ,    ,  LC
1936 ,  Finite combinatory processes - formulation 1                                                           ,  Emil L. Post                                                                       ,   , SEMINAL,   ,    ,    ,  ToC
1935 ,  Recursive functions - General recursive functions of natural numbers                                   ,  Stephen C. Kleene                                                                  ,   , SEMINAL,   ,    ,    ,  ToC PRF
1936 ,  Turing machines - On computable numbers; with an application to the Entscheidungsproblem               ,  Alan M. Turing                                                                     ,   , SEMINAL,   ,    ,    ,  ToC
1935 ,  Lambda calculus - An unsolvable problem of elementary number theory                                    ,  Alonzo Church                                                                      , LC, SEMINAL,   ,    ,    ,  LC
1920 ,  Introduction to Mathematical Philosophy                                                                ,  Bertrand Russell                                                                   ,   ,        ,   ,    ,    ,  FoM
