# Unicode ∷ Table of symbols


Ordinal | Attr     | Name                                              | Glyph
MATHEMATICAL BOLD SMALL OMEGA                   |0x1d6da| 𝛚     | gr
MATHEMATICAL BOLD SMALL PI                      |0x1d6d1| 𝛑     | gr
MATHEMATICAL BOLD SMALL PSI                     |0x1d6d9| 𝛙     | gr
MATHEMATICAL BOLD SMALL RHO                     |0x1d6d2| 𝛒     | gr
MATHEMATICAL BOLD SMALL SIGMA                   |0x1d6d4| 𝛔     | gr
MATHEMATICAL ITALIC SMALL EPSILON               |0x1d700| 𝜀     | gr
MODIFIER LETTER SHELF                           | 002fd | `˽`   | Pu Lm
MODIFIER LETTER SMALL BETA                      | 01d5d | ᵝ     | Lm
MODIFIER LETTER SMALL DELTA                     | 01d5f | ᵟ     | Lm
MODIFIER LETTER SMALL GREEK GAMMA               | 01d5e | ᵞ     | Lm
MODIFIER LETTER SMALL GREEK PHI                 | 01d60 | ᵠ     | Lm
MODIFIER LETTER SMALL IOTA                      | 01da5 | ᶥ     | Lm
MODIFIER LETTER SMALL OPEN E                    | 01d4b | ᵋ     | Lm
MODIFIER LETTER SMALL THETA                     | 01dbf | ᶿ     | Lm
MODIFIER LETTER SMALL V WITH HOOK               | 01db9 | ᶹ     | Lm
PARTIAL DIFFERENTIAL                            |0x2202 | ∂     | gr


Name                                            |0x00000| Glyph | Attr
------------------------------------------------|-------|-------|-----------
SINGLE LEFT-POINTING ANGLE QUOTATION MARK       | 02039 | ‹     | Lm
SINGLE RIGHT-POINTING ANGLE QUOTATION MARK      | 0203a | ›     | Lm
PARTIAL DIFFERENTIAL                            | 02202 | ∂     | Sy
INCREMENT                                       | 02206 | ∆     | Sy
MATHEMATICAL BOLD NABLA                         | 1d6c1 | 𝛁     | Sy
RIGHT ANGLE SUBSTITUTION MARKER                 | 02e00 | ⸀     | Ls Sf Sy
LEFTWARDS WHITE ARROW WITHIN TRIANGLE ARROWHEAD | 1f894 | 🢔     | Sy
ELEMENT OF                                      | 02208 | ∈     | Sy  St
NOT AN ELEMENT OF                               | 02209 | ∉     | Sy  St
CONTAINS AS MEMBER                              | 0220b | ∋     | Sy  St
DOES NOT CONTAIN AS MEMBER                      | 0220c | ∌     | Sy  St
SUBSET   OF  OR EQUAL TO                        | 02286 | ⊆     | Sy  St
NEITHER A SUBSET   OF NOR EQUAL TO              | 02288 | ⊈     | Sy  St
SUPERSET OF  OR EQUAL TO                        | 02287 | ⊇     | Sy  St
NEITHER A SUPERSET OF NOR EQUAL TO              | 02289 | ⊉     | Sy  St
SQUARE ROOT                                     | 0221a | √     | Sy  Ao
CUBE   ROOT                                     | 0221b | ∛     | Sy  Ao
FOURTH ROOT                                     | 0221c | ∜     | Sy  Ao
SYMBOL FOR BACKSPACE                            | 02408 | ␈     | Sy
SYMBOL FOR SPACE                                | 02420 | ␠     | Sy
NO-BREAK SPACE                                  | 000a0 | ` `   | Pu
MEDIUM MATHEMATICAL SPACE                       | 0205f | ` `   | Pu
EN SPACE                                        | 02002 | ` `   | Pu
EM SPACE                                        | 02003 | ` `    Pu
THREE-PER-EM SPACE                              | 02004 | ` `   | Pu
FOUR-PER-EM SPACE                               | 02005 | ` `   | Pu
SIX-PER-EM SPACE                                | 02006 | ` `   | Pu
FIGURE SPACE                                    | 02007 | ` `   | Pu
PUNCTUATION SPACE                               | 02008 | ` `   | Pu
THIN SPACE                                      | 02009 | ` `    | Pu
HAIR SPACE                                      | 0200a | ` `    | Pu
ZERO WIDTH SPACE                                | 0200b | `​`    | Pu
NARROW NO-BREAK SPACE                           | 0202f | ` `    | Pu

Name                                            |0x00000| Glyph | Attr
------------------------------------------------|-------|-------|-----------
SMALL COMMA                                     | 0fe50 | ﹐      | Pu Sf
SMALL IDEOGRAPHIC COMMA                         | 0fe51 | ﹑      | 
SMALL FULL STOP                                 | 0fe52 | ﹒      | 
SMALL SEMICOLON                                 | 0fe54 | ﹔      | 
SMALL COLON                                     | 0fe55 | ﹕      | 
SMALL QUESTION MARK                             | 0fe56 | ﹖      | 
SMALL EXCLAMATION MARK                          | 0fe57 | ﹗      | 
SMALL EM DASH                                   | 0fe58 | ﹘     | 
SMALL LEFT PARENTHESIS                          | 0fe59 | ﹙      | 
SMALL RIGHT PARENTHESIS                         | 0fe5a | ﹚      | 
SMALL LEFT CURLY BRACKET                        | 0fe5b | ﹛      | 
SMALL RIGHT CURLY BRACKET                       | 0fe5c | ﹜      | 
SMALL LEFT TORTOISE SHELL BRACKET               | 0fe5d | ﹝      | 
SMALL RIGHT TORTOISE SHELL BRACKET              | 0fe5e | ﹞      | 
SMALL NUMBER SIGN                               | 0fe5f | ﹟      | 
SMALL AMPERSAND                                 | 0fe60 | ﹠      | 
SMALL ASTERISK                                  | 0fe61 | ﹡      | 
SMALL PLUS SIGN                                 | 0fe62 | ﹢      | 
SMALL HYPHEN-MINUS                              | 0fe63 | ﹣      | 
SMALL LESS-THAN SIGN                            | 0fe64 | ﹤      | 
SMALL GREATER-THAN SIGN                         | 0fe65 | ﹥      | 
SMALL EQUALS SIGN                               | 0fe66 | ﹦      | 
SMALL REVERSE SOLIDUS                           | 0fe68 | ﹨      | 
SMALL DOLLAR SIGN                               | 0fe69 | ﹩      | 
SMALL PERCENT SIGN                              | 0fe6a | ﹪      | 
SMALL COMMERCIAL AT                             | 0fe6b | ﹫      | 
SMALL REVERSE SOLIDUS                           | 0fe68 | ﹨      | 

Name                                            |0x00000| Glyph | Attr
------------------------------------------------|-------|-------|-----------
NORTH EAST POINTING VINE LEAF                   |0x1f65a| 🙚     |
NORTH WEST POINTING VINE LEAF                   |0x1f658| 🙘     |
SOUTH WEST POINTING VINE LEAF                   |0x1f659| 🙙     |
SOUTH EAST POINTING VINE LEAF                   |0x1f65b| 🙛     |
HEAVY NORTH EAST POINTING VINE LEAF             |0x1f65e| 🙞     |
HEAVY NORTH WEST POINTING VINE LEAF             |0x1f65c| 🙜     |
HEAVY SOUTH WEST POINTING VINE LEAF             |0x1f65d| 🙝     |
HEAVY SOUTH EAST POINTING VINE LEAF             |0x1f65f| 🙟     |
NORTH EAST POINTING LEAF                        |0x1f652| 🙒     |
TURNED NORTH EAST POINTING LEAF                 |0x1f656| 🙖     |
NORTH WEST POINTING LEAF                        |0x1f650| 🙐     |
SOUTH WEST POINTING LEAF                        |0x1f651| 🙑     |
SOUTH EAST POINTING LEAF                        |0x1f653| 🙓     |
TURNED NORTH WEST POINTING LEAF                 |0x1f654| 🙔     |
TURNED SOUTH WEST POINTING LEAF                 |0x1f655| 🙕     |
TURNED SOUTH EAST POINTING LEAF                 |0x1f657| 🙗     |
HEAVY NORTH EAST POINTING BUD                   |0x1f666| 🙦     |
HEAVY NORTH WEST POINTING BUD                   |0x1f664| 🙤     |
HEAVY SOUTH EAST POINTING BUD                   |0x1f667| 🙧     |
NORTH EAST POINTING BUD                         |0x1f662| 🙢     |
NORTH WEST POINTING BUD                         |0x1f660| 🙠     |
SOUTH WEST POINTING BUD                         |0x1f661| 🙡     |
SOUTH EAST POINTING BUD                         |0x1f663| 🙣     |


⧾ ⧿ ⧺ ⧻ ⦂ ⦀ 
